FormCraft|formcraft_3_files|formcraft3
FS Poster|fs_accounts|fs-poster
FS Poster|fs_account_access_tokens|fs-poster
FS Poster|fs_account_groups|fs-poster
FS Poster|fs_account_groups_data|fs-poster
FS Poster|fs_account_nodes|fs-poster
FS Poster|fs_account_node_status|fs-poster
FS Poster|fs_account_status|fs-poster
FS Poster|fs_apps|fs-poster
FS Poster|fs_feeds|fs-poster
FS Poster|fs_grouped_accounts|fs-poster
FS Poster|fs_post_comments|fs-poster
FS Poster|fs_schedules|fs-poster
FS Poster|fs_account_sessions|fs-poster
GeoDirectory|countries|geodirectory
GeoDirectory|geodir_gd_place_detail|geodirectory
GeoDirectory|geodir_post_reports|geodirectory
GeoDirectory|geodir_api_keys|geodirectory
GeoDirectory|geodir_custom_fields|geodirectory
GeoDirectory|geodir_custom_sort_fields|geodirectory
GeoDirectory|geodir_attachments|geodirectory
GeoDirectory|geodir_tabs_layout|geodirectory
GeoDirectory|geodir_post_review|geodirectory
Germanized for WooCommerce|storeabill_document_itemmeta|woocommerce-germanized
Germanized for WooCommerce|storeabill_documentmeta|woocommerce-germanized
Germanized for WooCommerce|storeabill_document_items|woocommerce-germanized
Germanized for WooCommerce|storeabill_documents|woocommerce-germanized
Germanized for WooCommerce|storeabill_document_notices|woocommerce-germanized
Germanized for WooCommerce|storeabill_document_noticemeta|woocommerce-germanized
Germanized for WooCommerce|storeabill_journals|woocommerce-germanized
germanized2bmd|Germanized2BMD_settings|germanized2bmd
Glossary|glossary_related|glossary-by-codeat-premium
Glossary|glossary_database_cache|glossary-by-codeat-premium
Google Listings and Ads|gla_budget_recommendations|google-listings-and-ads
Google Listings and Ads|gla_shipping_rates|google-listings-and-ads
Google Listings and Ads|gla_merchant_issues|google-listings-and-ads
Google Listings and Ads|gla_shipping_times|google-listings-and-ads
Gravity Forms|gf_entry|gravityforms
Gravity Forms|gf_entry_meta|gravityforms
Gravity Forms|gf_form_meta|gravityforms
Gravity Forms|gf_form|gravityforms
Gravity Forms|gf_addon_feed|gravityforms
Gravity Forms|gf_form_view|gravityforms
Gravity Forms|gf_entry_notes|gravityforms
Gravity Forms|gf_form_revisions|gravityforms
Gravity Forms|gf_draft_submissions|gravityforms
Gravity Forms|gf_rest_api_keys|gravityforms
Groups|groups_user_group|groups
Groups|groups_capability|groups
Groups|groups_user_capability|groups
Groups|groups_group_capability|groups
Groups|groups_group|groups
Groups Newsletters|groups_newsletters_subscriber|groups-newsletters
Groups Newsletters|groups_newsletters_queue|groups-newsletters
Hustle|hustle_modules|hustle,hustle-pro
Hustle|hustle_modules_meta|hustle,hustle-pro
Imagify|imagify_files|imagify
Imagify|imagify_folders|imagify
Independent Analytics|independent_analytics_sessions|independent-analytics
Independent Analytics|independent_analytics_views|independent-analytics
Independent Analytics|independent_analytics_visitors|independent-analytics
Independent Analytics|independent_analytics_cities|independent-analytics
Independent Analytics|independent_analytics_campaigns|independent-analytics
Independent Analytics|independent_analytics_campaign_urls|independent-analytics
Independent Analytics|independent_analytics_countries|independent-analytics
Independent Analytics|independent_analytics_device_browsers|independent-analytics
Independent Analytics|independent_analytics_device_oss|independent-analytics
Independent Analytics|independent_analytics_device_types|independent-analytics
Independent Analytics|independent_analytics_referrers|independent-analytics
Independent Analytics|independent_analytics_reports|independent-analytics
Independent Analytics|independent_analytics_resources|independent-analytics
Independent Analytics|independent_analytics_wc_orders|independent-analytics
Instagram Feed|sbi_instagram_post|instagram-feed,instagram-feed-pro
IP2Location Country Blocker|ip2location_country_blocker_log|ip2location-country-blocker
iThemes Security|itsec_logs|ithemes-security
iThemes Security|itsec_lockouts|ithemes-security
iThemes Security|itsec_temp|ithemes-security
iThemes Security|itsec_dashboard_events|ithemes-security
iThemes Security|itsec_distributed_storage|ithemes-security
iThemes Security|itsec_bans|ithemes-security
iThemes Security|itsec_fingerprints|ithemes-security
iThemes Security|itsec_geolocation_cache|ithemes-security
iThemes Security|itsec_mutexes|ithemes-security
iThemes Security|itsec_opaque_tokens|ithemes-security
iThemes Security|itsec_user_groups|ithemes-security
JetBackup|sg_action|backup-guard-platinum
JetBackup|sg_config|backup-guard-platinum
JetBackup|sg_schedule|backup-guard-platinum
JetEngine|jet_post_types|jet-engine
JetEngine|jet_taxonomies|jet-engine
JetFormBuilder Formless Actions Endpoints|jet_fb_dynamic_routes|jet-form-builder-formless-actions-endpoints
JetFormBuilder Formless Actions Endpoints|jet_fb_dynamic_routes_meta|jet-form-builder-formless-actions-endpoints
Kadence|kbp_form_entrymeta|kadence
Kadence Conversions - Popups, slide-ins|kadence_conversions_events|kadence-conversions
LearnDash LMS|learndash_user_activity|sfwd-lms
LearnDash LMS|learndash_user_activity_meta|sfwd-lms
LearnDash LMS|learndash_pro_quiz_template|sfwd-lms
LearnDash LMS|learndash_pro_quiz_toplist|sfwd-lms
LearnDash LMS|ld_notifications_delayed_emails|sfwd-lms
LearnDash LMS|learndash_pro_quiz_category|sfwd-lms
LearnDash LMS|learndash_pro_quiz_lock|sfwd-lms
LearnDash LMS|learndash_pro_quiz_master|sfwd-lms
LearnDash LMS|learndash_pro_quiz_prerequisite|sfwd-lms
LearnDash LMS|learndash_pro_quiz_statistic|sfwd-lms
LearnDash LMS|learndash_pro_quiz_form|sfwd-lms
LearnDash LMS|learndash_pro_quiz_question|sfwd-lms
LearnDash LMS|learndash_pro_quiz_statistic_ref|sfwd-lms
